ref_area,indicator,source,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_TOTAL,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_A,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_B,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_C,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_D,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_F,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_G,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_H,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_I,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_J,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_K,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_L,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_N,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_P,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_Q,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_R,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_T,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_U,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_ISIC4_X,2015,0,,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_ECO_NB,EA:98,ECO_AGGREGATE_TOTAL,2015,0,,,T13:150_T14:153_I1:1154,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_TOTAL,1994,3,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_B,1994,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_C,1994,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_D,1994,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_E,1994,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_F,1994,3,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_H,1994,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_J,1994,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_O,1994,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_AGGREGATE_TOTAL,1994,3,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_TOTAL,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_A,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_B,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_C,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_D,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_E,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_F,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_G,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_H,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_I,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_J,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_K,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_N,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_O,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_AGGREGATE_TOTAL,1995,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_TOTAL,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_A,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_B,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_C,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_D,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_E,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_F,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_G,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_H,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_I,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_J,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_K,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_N,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_O,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_AGGREGATE_TOTAL,1996,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_TOTAL,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_A,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_B,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_C,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_D,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_E,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_F,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_G,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_H,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_I,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_J,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_K,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_N,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_O,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_AGGREGATE_TOTAL,1997,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_TOTAL,1998,1,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_A,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_B,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_C,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_D,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_E,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_F,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_G,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_H,1998,1,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_I,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_J,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_K,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_N,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_O,1998,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_AGGREGATE_TOTAL,1998,1,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_TOTAL,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_A,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_B,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_C,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_D,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_E,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_F,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_G,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_H,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_I,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_J,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_K,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_N,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_ISIC3_O,1999,0,,,T13:149_I1:465,
ANT,INJ_FATL_ECO_NB,FA:854,ECO_AGGREGATE_TOTAL,1999,0,,,T13:149_I1:465,
ARG,INJ_FATL_ECO_NB,FA:865,ECO_ISIC2_1,1997,83,,,T13:149,S3:26
ARG,INJ_FATL_ECO_NB,FA:865,ECO_ISIC2_2,1997,7,,,T13:149,S3:26
ARG,INJ_FATL_ECO_NB,FA:865,ECO_ISIC2_3,1997,131,,,T13:149,S3:26
ARG,INJ_FATL_ECO_NB,FA:865,ECO_ISIC2_4,1997,16,,,T13:149,S3:26
ARG,INJ_FATL_ECO_NB,FA:865,ECO_ISIC2_5,1997,105,,,T13:149,S3:26
ARG,INJ_FATL_ECO_NB,FA:865,ECO_ISIC2_6,1997,61,,,T13:149,S3:26
